"","steps","date","interval","interval_seq"
"60",1177.5,2012-10-01,455,2012-10-01 04:55:00
"61",1177.5,2012-10-01,500,2012-10-01 05:00:00
"62",1177.5,2012-10-01,505,2012-10-01 05:05:00
"63",1177.5,2012-10-01,510,2012-10-01 05:10:00
"64",1177.5,2012-10-01,515,2012-10-01 05:15:00
"65",1177.5,2012-10-01,520,2012-10-01 05:20:00
"66",1177.5,2012-10-01,525,2012-10-01 05:25:00
"67",1177.5,2012-10-01,530,2012-10-01 05:30:00
"68",1177.5,2012-10-01,535,2012-10-01 05:35:00
"69",1177.5,2012-10-01,540,2012-10-01 05:40:00
"70",1177.5,2012-10-01,545,2012-10-01 05:45:00
"71",1177.5,2012-10-01,550,2012-10-01 05:50:00
"72",1177.5,2012-10-01,555,2012-10-01 05:55:00
"73",1177.5,2012-10-01,600,2012-10-01 06:00:00
"74",1177.5,2012-10-01,605,2012-10-01 06:05:00
"75",1177.5,2012-10-01,610,2012-10-01 06:10:00
"76",1177.5,2012-10-01,615,2012-10-01 06:15:00
"77",1177.5,2012-10-01,620,2012-10-01 06:20:00
"78",1177.5,2012-10-01,625,2012-10-01 06:25:00
"79",1177.5,2012-10-01,630,2012-10-01 06:30:00
"80",1177.5,2012-10-01,635,2012-10-01 06:35:00
"81",1177.5,2012-10-01,640,2012-10-01 06:40:00
"82",1177.5,2012-10-01,645,2012-10-01 06:45:00
"83",1177.5,2012-10-01,650,2012-10-01 06:50:00
"84",1177.5,2012-10-01,655,2012-10-01 06:55:00
"85",1177.5,2012-10-01,700,2012-10-01 07:00:00
"86",1177.5,2012-10-01,705,2012-10-01 07:05:00
"87",1177.5,2012-10-01,710,2012-10-01 07:10:00
"88",1177.5,2012-10-01,715,2012-10-01 07:15:00
"89",1177.5,2012-10-01,720,2012-10-01 07:20:00
"90",1177.5,2012-10-01,725,2012-10-01 07:25:00
"91",1177.5,2012-10-01,730,2012-10-01 07:30:00
"92",1177.5,2012-10-01,735,2012-10-01 07:35:00
"93",1177.5,2012-10-01,740,2012-10-01 07:40:00
"94",1177.5,2012-10-01,745,2012-10-01 07:45:00
"95",1177.5,2012-10-01,750,2012-10-01 07:50:00
"96",1177.5,2012-10-01,755,2012-10-01 07:55:00
"97",1177.5,2012-10-01,800,2012-10-01 08:00:00
"98",1177.5,2012-10-01,805,2012-10-01 08:05:00
"99",1177.5,2012-10-01,810,2012-10-01 08:10:00
"100",1177.5,2012-10-01,815,2012-10-01 08:15:00
"101",1177.5,2012-10-01,820,2012-10-01 08:20:00
"102",1177.5,2012-10-01,825,2012-10-01 08:25:00
"103",1177.5,2012-10-01,830,2012-10-01 08:30:00
"104",1177.5,2012-10-01,835,2012-10-01 08:35:00
"105",1177.5,2012-10-01,840,2012-10-01 08:40:00
"106",1177.5,2012-10-01,845,2012-10-01 08:45:00
"107",1177.5,2012-10-01,850,2012-10-01 08:50:00
"108",1177.5,2012-10-01,855,2012-10-01 08:55:00
"109",1177.5,2012-10-01,900,2012-10-01 09:00:00
"110",1177.5,2012-10-01,905,2012-10-01 09:05:00
"111",1177.5,2012-10-01,910,2012-10-01 09:10:00
"112",1177.5,2012-10-01,915,2012-10-01 09:15:00
"113",1177.5,2012-10-01,920,2012-10-01 09:20:00
"114",1177.5,2012-10-01,925,2012-10-01 09:25:00
"115",1177.5,2012-10-01,930,2012-10-01 09:30:00
"116",1177.5,2012-10-01,935,2012-10-01 09:35:00
"117",1177.5,2012-10-01,940,2012-10-01 09:40:00
"118",1177.5,2012-10-01,945,2012-10-01 09:45:00
"119",1177.5,2012-10-01,950,2012-10-01 09:50:00
"120",1177.5,2012-10-01,955,2012-10-01 09:55:00
"121",1177.5,2012-10-01,1000,2012-10-01 10:00:00
"122",1177.5,2012-10-01,1005,2012-10-01 10:05:00
"123",1177.5,2012-10-01,1010,2012-10-01 10:10:00
"124",1177.5,2012-10-01,1015,2012-10-01 10:15:00
"125",1177.5,2012-10-01,1020,2012-10-01 10:20:00
"126",1177.5,2012-10-01,1025,2012-10-01 10:25:00
"127",1177.5,2012-10-01,1030,2012-10-01 10:30:00
"128",1177.5,2012-10-01,1035,2012-10-01 10:35:00
"129",1177.5,2012-10-01,1040,2012-10-01 10:40:00
"130",1177.5,2012-10-01,1045,2012-10-01 10:45:00
"131",1177.5,2012-10-01,1050,2012-10-01 10:50:00
"132",1177.5,2012-10-01,1055,2012-10-01 10:55:00
"133",1177.5,2012-10-01,1100,2012-10-01 11:00:00
"134",1177.5,2012-10-01,1105,2012-10-01 11:05:00
"135",1177.5,2012-10-01,1110,2012-10-01 11:10:00
"136",1177.5,2012-10-01,1115,2012-10-01 11:15:00
"137",1177.5,2012-10-01,1120,2012-10-01 11:20:00
"138",1177.5,2012-10-01,1125,2012-10-01 11:25:00
"139",1177.5,2012-10-01,1130,2012-10-01 11:30:00
"140",1177.5,2012-10-01,1135,2012-10-01 11:35:00
"141",1177.5,2012-10-01,1140,2012-10-01 11:40:00
"142",1177.5,2012-10-01,1145,2012-10-01 11:45:00
"143",1177.5,2012-10-01,1150,2012-10-01 11:50:00
"144",1177.5,2012-10-01,1155,2012-10-01 11:55:00
"145",1177.5,2012-10-01,1200,2012-10-01 12:00:00
"146",1177.5,2012-10-01,1205,2012-10-01 12:05:00
"147",1177.5,2012-10-01,1210,2012-10-01 12:10:00
"148",1177.5,2012-10-01,1215,2012-10-01 12:15:00
"149",1177.5,2012-10-01,1220,2012-10-01 12:20:00
"150",1177.5,2012-10-01,1225,2012-10-01 12:25:00
"151",1177.5,2012-10-01,1230,2012-10-01 12:30:00
"152",1177.5,2012-10-01,1235,2012-10-01 12:35:00
"153",1177.5,2012-10-01,1240,2012-10-01 12:40:00
"154",1177.5,2012-10-01,1245,2012-10-01 12:45:00
"155",1177.5,2012-10-01,1250,2012-10-01 12:50:00
"156",1177.5,2012-10-01,1255,2012-10-01 12:55:00
"157",1177.5,2012-10-01,1300,2012-10-01 13:00:00
"158",1177.5,2012-10-01,1305,2012-10-01 13:05:00
"159",1177.5,2012-10-01,1310,2012-10-01 13:10:00
"160",1177.5,2012-10-01,1315,2012-10-01 13:15:00
"161",1177.5,2012-10-01,1320,2012-10-01 13:20:00
"162",1177.5,2012-10-01,1325,2012-10-01 13:25:00
"163",1177.5,2012-10-01,1330,2012-10-01 13:30:00
"164",1177.5,2012-10-01,1335,2012-10-01 13:35:00
"165",1177.5,2012-10-01,1340,2012-10-01 13:40:00
"166",1177.5,2012-10-01,1345,2012-10-01 13:45:00
"167",1177.5,2012-10-01,1350,2012-10-01 13:50:00
"168",1177.5,2012-10-01,1355,2012-10-01 13:55:00
"169",1177.5,2012-10-01,1400,2012-10-01 14:00:00
"170",1177.5,2012-10-01,1405,2012-10-01 14:05:00
"171",1177.5,2012-10-01,1410,2012-10-01 14:10:00
"172",1177.5,2012-10-01,1415,2012-10-01 14:15:00
"173",1177.5,2012-10-01,1420,2012-10-01 14:20:00
"174",1177.5,2012-10-01,1425,2012-10-01 14:25:00
"175",1177.5,2012-10-01,1430,2012-10-01 14:30:00
"176",1177.5,2012-10-01,1435,2012-10-01 14:35:00
"177",1177.5,2012-10-01,1440,2012-10-01 14:40:00
"178",1177.5,2012-10-01,1445,2012-10-01 14:45:00
"179",1177.5,2012-10-01,1450,2012-10-01 14:50:00
"180",1177.5,2012-10-01,1455,2012-10-01 14:55:00
"181",1177.5,2012-10-01,1500,2012-10-01 15:00:00
"182",1177.5,2012-10-01,1505,2012-10-01 15:05:00
"183",1177.5,2012-10-01,1510,2012-10-01 15:10:00
"184",1177.5,2012-10-01,1515,2012-10-01 15:15:00
"185",1177.5,2012-10-01,1520,2012-10-01 15:20:00
"186",1177.5,2012-10-01,1525,2012-10-01 15:25:00
"187",1177.5,2012-10-01,1530,2012-10-01 15:30:00
"188",1177.5,2012-10-01,1535,2012-10-01 15:35:00
"189",1177.5,2012-10-01,1540,2012-10-01 15:40:00
"190",1177.5,2012-10-01,1545,2012-10-01 15:45:00
"191",1177.5,2012-10-01,1550,2012-10-01 15:50:00
"192",1177.5,2012-10-01,1555,2012-10-01 15:55:00
"193",1177.5,2012-10-01,1600,2012-10-01 16:00:00
"194",1177.5,2012-10-01,1605,2012-10-01 16:05:00
"195",1177.5,2012-10-01,1610,2012-10-01 16:10:00
"196",1177.5,2012-10-01,1615,2012-10-01 16:15:00
"197",1177.5,2012-10-01,1620,2012-10-01 16:20:00
"198",1177.5,2012-10-01,1625,2012-10-01 16:25:00
"199",1177.5,2012-10-01,1630,2012-10-01 16:30:00
"200",1177.5,2012-10-01,1635,2012-10-01 16:35:00
"201",1177.5,2012-10-01,1640,2012-10-01 16:40:00
"202",1177.5,2012-10-01,1645,2012-10-01 16:45:00
"203",1177.5,2012-10-01,1650,2012-10-01 16:50:00
"204",1177.5,2012-10-01,1655,2012-10-01 16:55:00
"205",1177.5,2012-10-01,1700,2012-10-01 17:00:00
"206",1177.5,2012-10-01,1705,2012-10-01 17:05:00
"207",1177.5,2012-10-01,1710,2012-10-01 17:10:00
"208",1177.5,2012-10-01,1715,2012-10-01 17:15:00
"209",1177.5,2012-10-01,1720,2012-10-01 17:20:00
"210",1177.5,2012-10-01,1725,2012-10-01 17:25:00
"211",1177.5,2012-10-01,1730,2012-10-01 17:30:00
"212",1177.5,2012-10-01,1735,2012-10-01 17:35:00
"213",1177.5,2012-10-01,1740,2012-10-01 17:40:00
"214",1177.5,2012-10-01,1745,2012-10-01 17:45:00
"215",1177.5,2012-10-01,1750,2012-10-01 17:50:00
"216",1177.5,2012-10-01,1755,2012-10-01 17:55:00
"217",1177.5,2012-10-01,1800,2012-10-01 18:00:00
"218",1177.5,2012-10-01,1805,2012-10-01 18:05:00
"219",1177.5,2012-10-01,1810,2012-10-01 18:10:00
"220",1177.5,2012-10-01,1815,2012-10-01 18:15:00
"221",1177.5,2012-10-01,1820,2012-10-01 18:20:00
"222",1177.5,2012-10-01,1825,2012-10-01 18:25:00
"223",1177.5,2012-10-01,1830,2012-10-01 18:30:00
"224",1177.5,2012-10-01,1835,2012-10-01 18:35:00
"225",1177.5,2012-10-01,1840,2012-10-01 18:40:00
"226",1177.5,2012-10-01,1845,2012-10-01 18:45:00
"227",1177.5,2012-10-01,1850,2012-10-01 18:50:00
"228",1177.5,2012-10-01,1855,2012-10-01 18:55:00
"229",1177.5,2012-10-01,1900,2012-10-01 19:00:00
"230",1177.5,2012-10-01,1905,2012-10-01 19:05:00
"231",1177.5,2012-10-01,1910,2012-10-01 19:10:00
"232",1177.5,2012-10-01,1915,2012-10-01 19:15:00
"233",1177.5,2012-10-01,1920,2012-10-01 19:20:00
"234",1177.5,2012-10-01,1925,2012-10-01 19:25:00
"235",1177.5,2012-10-01,1930,2012-10-01 19:30:00
"236",1177.5,2012-10-01,1935,2012-10-01 19:35:00
"237",1177.5,2012-10-01,1940,2012-10-01 19:40:00
"238",1177.5,2012-10-01,1945,2012-10-01 19:45:00
"239",1177.5,2012-10-01,1950,2012-10-01 19:50:00
"240",1177.5,2012-10-01,1955,2012-10-01 19:55:00
"241",1177.5,2012-10-01,2000,2012-10-01 20:00:00
"242",1177.5,2012-10-01,2005,2012-10-01 20:05:00
"243",1177.5,2012-10-01,2010,2012-10-01 20:10:00
"244",1177.5,2012-10-01,2015,2012-10-01 20:15:00
"245",1177.5,2012-10-01,2020,2012-10-01 20:20:00
"246",1177.5,2012-10-01,2025,2012-10-01 20:25:00
"247",1177.5,2012-10-01,2030,2012-10-01 20:30:00
"248",1177.5,2012-10-01,2035,2012-10-01 20:35:00
"249",1177.5,2012-10-01,2040,2012-10-01 20:40:00
"250",1177.5,2012-10-01,2045,2012-10-01 20:45:00
"251",1177.5,2012-10-01,2050,2012-10-01 20:50:00
"252",1177.5,2012-10-01,2055,2012-10-01 20:55:00
"253",1177.5,2012-10-01,2100,2012-10-01 21:00:00
"254",1177.5,2012-10-01,2105,2012-10-01 21:05:00
"255",1177.5,2012-10-01,2110,2012-10-01 21:10:00
"256",1177.5,2012-10-01,2115,2012-10-01 21:15:00
"257",1177.5,2012-10-01,2120,2012-10-01 21:20:00
"258",1177.5,2012-10-01,2125,2012-10-01 21:25:00
"259",1177.5,2012-10-01,2130,2012-10-01 21:30:00
"260",1177.5,2012-10-01,2135,2012-10-01 21:35:00
"261",1177.5,2012-10-01,2140,2012-10-01 21:40:00
"262",1177.5,2012-10-01,2145,2012-10-01 21:45:00
"263",1177.5,2012-10-01,2150,2012-10-01 21:50:00
"264",1177.5,2012-10-01,2155,2012-10-01 21:55:00
"265",1177.5,2012-10-01,2200,2012-10-01 22:00:00
"266",1177.5,2012-10-01,2205,2012-10-01 22:05:00
"267",1177.5,2012-10-01,2210,2012-10-01 22:10:00
"268",1177.5,2012-10-01,2215,2012-10-01 22:15:00
"269",1177.5,2012-10-01,2220,2012-10-01 22:20:00
"270",1177.5,2012-10-01,2225,2012-10-01 22:25:00
"271",1177.5,2012-10-01,2230,2012-10-01 22:30:00
"272",1177.5,2012-10-01,2235,2012-10-01 22:35:00
"273",1177.5,2012-10-01,2240,2012-10-01 22:40:00
"274",1177.5,2012-10-01,2245,2012-10-01 22:45:00
"275",1177.5,2012-10-01,2250,2012-10-01 22:50:00
"276",1177.5,2012-10-01,2255,2012-10-01 22:55:00
"277",1177.5,2012-10-01,2300,2012-10-01 23:00:00
"278",1177.5,2012-10-01,2305,2012-10-01 23:05:00
"279",1177.5,2012-10-01,2310,2012-10-01 23:10:00
"280",1177.5,2012-10-01,2315,2012-10-01 23:15:00
"281",1177.5,2012-10-01,2320,2012-10-01 23:20:00
"282",1177.5,2012-10-01,2325,2012-10-01 23:25:00
"283",1177.5,2012-10-01,2330,2012-10-01 23:30:00
"284",1177.5,2012-10-01,2335,2012-10-01 23:35:00
"285",1177.5,2012-10-01,2340,2012-10-01 23:40:00
"286",1177.5,2012-10-01,2345,2012-10-01 23:45:00
"287",1177.5,2012-10-01,2350,2012-10-01 23:50:00
"288",1177.5,2012-10-01,2355,2012-10-01 23:55:00
"289",0,2012-10-02,0,2012-10-02 00:00:00
"290",0,2012-10-02,5,2012-10-02 00:05:00
"291",0,2012-10-02,10,2012-10-02 00:10:00
"292",0,2012-10-02,15,2012-10-02 00:15:00
"293",0,2012-10-02,20,2012-10-02 00:20:00
"294",0,2012-10-02,25,2012-10-02 00:25:00
"295",0,2012-10-02,30,2012-10-02 00:30:00
"296",0,2012-10-02,35,2012-10-02 00:35:00
"297",0,2012-10-02,40,2012-10-02 00:40:00
"298",0,2012-10-02,45,2012-10-02 00:45:00
"299",0,2012-10-02,50,2012-10-02 00:50:00
"300",0,2012-10-02,55,2012-10-02 00:55:00
"301",0,2012-10-02,100,2012-10-02 01:00:00
"302",0,2012-10-02,105,2012-10-02 01:05:00
"303",0,2012-10-02,110,2012-10-02 01:10:00
"304",0,2012-10-02,115,2012-10-02 01:15:00
"305",0,2012-10-02,120,2012-10-02 01:20:00
"306",0,2012-10-02,125,2012-10-02 01:25:00
"307",0,2012-10-02,130,2012-10-02 01:30:00
"308",0,2012-10-02,135,2012-10-02 01:35:00
"309",0,2012-10-02,140,2012-10-02 01:40:00
"310",0,2012-10-02,145,2012-10-02 01:45:00
"311",0,2012-10-02,150,2012-10-02 01:50:00
"312",0,2012-10-02,155,2012-10-02 01:55:00
"313",0,2012-10-02,200,2012-10-02 02:00:00
"314",0,2012-10-02,205,2012-10-02 02:05:00
"315",0,2012-10-02,210,2012-10-02 02:10:00
"316",0,2012-10-02,215,2012-10-02 02:15:00
"317",0,2012-10-02,220,2012-10-02 02:20:00
"318",0,2012-10-02,225,2012-10-02 02:25:00
"319",0,2012-10-02,230,2012-10-02 02:30:00
"320",0,2012-10-02,235,2012-10-02 02:35:00
"321",0,2012-10-02,240,2012-10-02 02:40:00
"322",0,2012-10-02,245,2012-10-02 02:45:00
"323",0,2012-10-02,250,2012-10-02 02:50:00
"324",0,2012-10-02,255,2012-10-02 02:55:00
"325",0,2012-10-02,300,2012-10-02 03:00:00
"326",0,2012-10-02,305,2012-10-02 03:05:00
"327",0,2012-10-02,310,2012-10-02 03:10:00
"328",0,2012-10-02,315,2012-10-02 03:15:00
"329",0,2012-10-02,320,2012-10-02 03:20:00
"330",0,2012-10-02,325,2012-10-02 03:25:00
"331",0,2012-10-02,330,2012-10-02 03:30:00
"332",0,2012-10-02,335,2012-10-02 03:35:00
"333",0,2012-10-02,340,2012-10-02 03:40:00
"334",0,2012-10-02,345,2012-10-02 03:45:00
"335",0,2012-10-02,350,2012-10-02 03:50:00
"336",0,2012-10-02,355,2012-10-02 03:55:00
"337",0,2012-10-02,400,2012-10-02 04:00:00
"338",0,2012-10-02,405,2012-10-02 04:05:00
"339",0,2012-10-02,410,2012-10-02 04:10:00
"340",0,2012-10-02,415,2012-10-02 04:15:00
"341",0,2012-10-02,420,2012-10-02 04:20:00
"342",0,2012-10-02,425,2012-10-02 04:25:00
"343",0,2012-10-02,430,2012-10-02 04:30:00
"344",0,2012-10-02,435,2012-10-02 04:35:00
"345",0,2012-10-02,440,2012-10-02 04:40:00
"346",0,2012-10-02,445,2012-10-02 04:45:00
"347",0,2012-10-02,450,2012-10-02 04:50:00
"348",0,2012-10-02,455,2012-10-02 04:55:00
"349",0,2012-10-02,500,2012-10-02 05:00:00
"350",0,2012-10-02,505,2012-10-02 05:05:00
"351",0,2012-10-02,510,2012-10-02 05:10:00
"352",0,2012-10-02,515,2012-10-02 05:15:00
"353",0,2012-10-02,520,2012-10-02 05:20:00
"354",0,2012-10-02,525,2012-10-02 05:25:00
"355",0,2012-10-02,530,2012-10-02 05:30:00
"356",0,2012-10-02,535,2012-10-02 05:35:00
"357",0,2012-10-02,540,2012-10-02 05:40:00
"358",0,2012-10-02,545,2012-10-02 05:45:00
"359",0,2012-10-02,550,2012-10-02 05:50:00
"360",0,2012-10-02,555,2012-10-02 05:55:00
"361",0,2012-10-02,600,2012-10-02 06:00:00
"362",0,2012-10-02,605,2012-10-02 06:05:00
"363",0,2012-10-02,610,2012-10-02 06:10:00
"364",0,2012-10-02,615,2012-10-02 06:15:00
"365",0,2012-10-02,620,2012-10-02 06:20:00
"366",0,2012-10-02,625,2012-10-02 06:25:00
"367",0,2012-10-02,630,2012-10-02 06:30:00
"368",0,2012-10-02,635,2012-10-02 06:35:00
"369",0,2012-10-02,640,2012-10-02 06:40:00
"370",0,2012-10-02,645,2012-10-02 06:45:00
"371",0,2012-10-02,650,2012-10-02 06:50:00
"372",0,2012-10-02,655,2012-10-02 06:55:00
"373",0,2012-10-02,700,2012-10-02 07:00:00
"374",0,2012-10-02,705,2012-10-02 07:05:00
"375",0,2012-10-02,710,2012-10-02 07:10:00
"376",0,2012-10-02,715,2012-10-02 07:15:00
"377",0,2012-10-02,720,2012-10-02 07:20:00
"378",0,2012-10-02,725,2012-10-02 07:25:00
"379",0,2012-10-02,730,2012-10-02 07:30:00
"380",0,2012-10-02,735,2012-10-02 07:35:00
"381",0,2012-10-02,740,2012-10-02 07:40:00
"382",0,2012-10-02,745,2012-10-02 07:45:00
"383",0,2012-10-02,750,2012-10-02 07:50:00
"384",0,2012-10-02,755,2012-10-02 07:55:00
"385",0,2012-10-02,800,2012-10-02 08:00:00
"386",0,2012-10-02,805,2012-10-02 08:05:00
"387",0,2012-10-02,810,2012-10-02 08:10:00
"388",0,2012-10-02,815,2012-10-02 08:15:00
"389",0,2012-10-02,820,2012-10-02 08:20:00
"390",0,2012-10-02,825,2012-10-02 08:25:00
"391",0,2012-10-02,830,2012-10-02 08:30:00
"392",0,2012-10-02,835,2012-10-02 08:35:00
"393",0,2012-10-02,840,2012-10-02 08:40:00
"394",0,2012-10-02,845,2012-10-02 08:45:00
"395",0,2012-10-02,850,2012-10-02 08:50:00
"396",0,2012-10-02,855,2012-10-02 08:55:00
"397",0,2012-10-02,900,2012-10-02 09:00:00
"398",0,2012-10-02,905,2012-10-02 09:05:00
"399",0,2012-10-02,910,2012-10-02 09:10:00
"400",0,2012-10-02,915,2012-10-02 09:15:00
"401",0,2012-10-02,920,2012-10-02 09:20:00
"402",0,2012-10-02,925,2012-10-02 09:25:00
"403",0,2012-10-02,930,2012-10-02 09:30:00
"404",0,2012-10-02,935,2012-10-02 09:35:00
"405",0,2012-10-02,940,2012-10-02 09:40:00
"406",0,2012-10-02,945,2012-10-02 09:45:00
"407",0,2012-10-02,950,2012-10-02 09:50:00
"408",0,2012-10-02,955,2012-10-02 09:55:00
"409",0,2012-10-02,1000,2012-10-02 10:00:00
"410",0,2012-10-02,1005,2012-10-02 10:05:00
"411",0,2012-10-02,1010,2012-10-02 10:10:00
"412",0,2012-10-02,1015,2012-10-02 10:15:00
"413",0,2012-10-02,1020,2012-10-02 10:20:00
"414",0,2012-10-02,1025,2012-10-02 10:25:00
"415",0,2012-10-02,1030,2012-10-02 10:30:00
"416",0,2012-10-02,1035,2012-10-02 10:35:00
"417",0,2012-10-02,1040,2012-10-02 10:40:00
"418",0,2012-10-02,1045,2012-10-02 10:45:00
"419",0,2012-10-02,1050,2012-10-02 10:50:00
"420",0,2012-10-02,1055,2012-10-02 10:55:00
"421",0,2012-10-02,1100,2012-10-02 11:00:00
"422",0,2012-10-02,1105,2012-10-02 11:05:00
"423",0,2012-10-02,1110,2012-10-02 11:10:00
"424",0,2012-10-02,1115,2012-10-02 11:15:00
"425",0,2012-10-02,1120,2012-10-02 11:20:00
"426",0,2012-10-02,1125,2012-10-02 11:25:00
"427",0,2012-10-02,1130,2012-10-02 11:30:00
"428",0,2012-10-02,1135,2012-10-02 11:35:00
"429",0,2012-10-02,1140,2012-10-02 11:40:00
"430",0,2012-10-02,1145,2012-10-02 11:45:00
"431",0,2012-10-02,1150,2012-10-02 11:50:00
"432",0,2012-10-02,1155,2012-10-02 11:55:00
"433",0,2012-10-02,1200,2012-10-02 12:00:00
"434",0,2012-10-02,1205,2012-10-02 12:05:00
"435",0,2012-10-02,1210,2012-10-02 12:10:00
"436",0,2012-10-02,1215,2012-10-02 12:15:00
"437",0,2012-10-02,1220,2012-10-02 12:20:00
"438",0,2012-10-02,1225,2012-10-02 12:25:00
"439",0,2012-10-02,1230,2012-10-02 12:30:00
"440",0,2012-10-02,1235,2012-10-02 12:35:00
"441",0,2012-10-02,1240,2012-10-02 12:40:00
"442",0,2012-10-02,1245,2012-10-02 12:45:00
"443",0,2012-10-02,1250,2012-10-02 12:50:00
"444",0,2012-10-02,1255,2012-10-02 12:55:00
"445",0,2012-10-02,1300,2012-10-02 13:00:00
"446",0,2012-10-02,1305,2012-10-02 13:05:00
"447",0,2012-10-02,1310,2012-10-02 13:10:00
"448",0,2012-10-02,1315,2012-10-02 13:15:00
"449",0,2012-10-02,1320,2012-10-02 13:20:00
"450",0,2012-10-02,1325,2012-10-02 13:25:00
"451",0,2012-10-02,1330,2012-10-02 13:30:00
"452",0,2012-10-02,1335,2012-10-02 13:35:00
"453",0,2012-10-02,1340,2012-10-02 13:40:00
"454",0,2012-10-02,1345,2012-10-02 13:45:00
"455",0,2012-10-02,1350,2012-10-02 13:50:00
"456",0,2012-10-02,1355,2012-10-02 13:55:00
"457",0,2012-10-02,1400,2012-10-02 14:00:00
"458",0,2012-10-02,1405,2012-10-02 14:05:00
"459",0,2012-10-02,1410,2012-10-02 14:10:00
"460",0,2012-10-02,1415,2012-10-02 14:15:00
"461",0,2012-10-02,1420,2012-10-02 14:20:00
"462",0,2012-10-02,1425,2012-10-02 14:25:00
"463",0,2012-10-02,1430,2012-10-02 14:30:00
"464",0,2012-10-02,1435,2012-10-02 14:35:00
"465",0,2012-10-02,1440,2012-10-02 14:40:00
"466",0,2012-10-02,1445,2012-10-02 14:45:00
"467",0,2012-10-02,1450,2012-10-02 14:50:00
"468",0,2012-10-02,1455,2012-10-02 14:55:00
"469",0,2012-10-02,1500,2012-10-02 15:00:00
"470",0,2012-10-02,1505,2012-10-02 15:05:00
"471",0,2012-10-02,1510,2012-10-02 15:10:00
"472",0,2012-10-02,1515,2012-10-02 15:15:00
"473",0,2012-10-02,1520,2012-10-02 15:20:00
"474",0,2012-10-02,1525,2012-10-02 15:25:00
"475",0,2012-10-02,1530,2012-10-02 15:30:00
"476",0,2012-10-02,1535,2012-10-02 15:35:00
